"item","category","description","packaging","color","","price","image"
"Ahi Tuna Nachos","Appetizers","Pork Skins, Harissa & Lime Mayo, Satsuma Salsa, Feta Cheese","standard packaging options","white","","12","hamburger"
"Wood-grilled Shrimp and Artichokes","Appetizers","Tasso Butter, Roasted Red Peppers, Grilled French Bread","standard packaging options","white","","16","hamburger"
"Deviled Eggs","Appetizers","Choupique Caviar, Candied Bacon, Chow-chow Relish","standard packaging options","white","","12","hamburger"
"Crab Claws R'evolution","Appetizers","Fried Claws, Sweet Chile Sauce, Jalapeño, Pickled Carrots","standard packaging options","white","","16","hamburger"
"Beer-battered Crab Beignets","Appetizers","Four Rémoulades","standard packaging options","white","","18","hamburger"
"Oysters on the Half Shell","Appetizers","Gulf Oysters Daily selections from around the country","standard packaging options","white","","10","hamburger"
"Charbroiled Oysters","Appetizers","Gulf Oysters  Daily selections from around the country","standard packaging options","white","","10","hamburger"
"Oyster Rockefeller","Appetizers","Spinach, Herbsaint, Monterey Jack, Parmesan","standard packaging options","white","","18","hamburger"
"Tramonto's Caviar Staircase","Appetizers","Includes whitefish roe, salmon roe, wasabi tobiko and traditional garnish with the following black caviar options","standard packaging options","white","","25","hamburger"
"Charcuterie and Cheese Board","Appetizers","San Daniele Prosciutto, Finocchiona, Flora Butcher Summer Sausage, Sweet Asher Blue,  Pimiento Cheese, Smokey Mountain Goat Cheese, Sweet Onion Jam, Creole Mustard,  House-made Pickles, Crostini","standard packaging options","white","","23","hamburger"
"Tuna Tartare","Appetizers","Avocado Hummus, Charred Corn Salsa","standard packaging options","white","","12","hamburger"
"Shrimp & Chorizo Skillet","Appetizers","Suffrito & Toasted French Bread","standard packaging options","white","","14","hamburger"
"Meat & Cheese Slate","Appetizers","Beef Candle, Prosciutto, Marinated Olives, Whipped Feta","standard packaging options","white","","18","hamburger"
"Tramonto's Caviar Staircase","Appetizers","Choupique & Russian Osetra Available. Includes whitefish roe, salmon roe, wasabi tobiko and traditional garnish with black caviar options. ","standard packaging options","white","","55","hamburger"
"Pancakes and Syrup","CHILDREN'S BRUNCH MENU","For children","standard packaging options","white","","7","hamburger"
"Sweet Potato Waffle","CHILDREN'S BRUNCH MENU","For children","standard packaging options","white","","7","hamburger"
"Scrambled Eggs, Biscuit, Bacon","CHILDREN'S BRUNCH MENU","For children","standard packaging options","white","","9","hamburger"
"Fruit Plate","CHILDREN'S BRUNCH MENU","For children","standard packaging options","white","","6","hamburger"
"Kid’s Mini Platters","CHILDREN'S BRUNCH MENU","Choice of Chicken Strips, Catfish Strips, or Fried Shrimp","standard packaging options","white","","8","hamburger"
"Grilled Cheese Sandwich","CHILDREN'S BRUNCH MENU","Served with French Fries  ","standard packaging options","white","","6","hamburger"
"White Chocolate Bread Pudding Creme Brulee","Desserts","Salted Bourbon Caramel Sauce","standard packaging options","white","","9","hamburger"
"Caramel Pie","Desserts","Bruleed Apple, Streusel","standard packaging options","white","","9","hamburger"
"Rocky Road Pecan Pie","Desserts","Chocolate, Marshmallow, Vanilla Ice Cream","standard packaging options","white","","9","hamburger"
"Sweet Potato Mousse","Desserts","Balsamic Berry Compote, Spiced Apple Sorbet, Candied Pecans","standard packaging options","white","","9","hamburger"
"Turbodog Stout Choclate Cake","Desserts","Mississippi Cold Drip Coffee Ice Cream, Bailey’s Irish Cream","standard packaging options","white","","9","hamburger"
"Sticky Toffee","Desserts","Salted Bourbon Caramel, Vanilla Ice Cream","standard packaging options","white","","8","hamburger"
"Housemade Ice Creams, Sherbet and Sorbets","Desserts","Each (4) Trio (10)","standard packaging options","white","","4","hamburger"
"Turbodog Trifle","Desserts","Turbodog Cake, Chocolate & Vanilla Ice Cream, Baileys","standard packaging options","white","","6","hamburger"
"Mississippi Beignets","Desserts","Fried Brioche, Powdered Sugar, Vanilla Baileys","standard packaging options","white","","6","hamburger"
"Root Beer Float","Desserts","Vanilla Ice Cream, Ginger Snap Cookie","standard packaging options","white","","6","hamburger"
"R'evolution Benedict","Eggs","Poached Eggs, Sugar-cured Ham, Sweet Corn Biscuit, Sriracha Hollandaise","standard packaging options","white","","14","hamburger"
"Creole Crab Cakes","Eggs","Jumbo Lump Crabmeat, Poached Eggs, Asparagus, Hollandaise","standard packaging options","white","","23","hamburger"
"Blue R' Breakfast","Eggs","2 Eggs Your Way, Choice of Bacon or Sausage, White or Wheat Toast, Calabrian Potatoes, Grits","standard packaging options","white","","12","hamburger"
"Short Rib Debris","Eggs","Poached Eggs, Biscuit, Hollandaise, Hot Sauce Reduction","standard packaging options","white","","16","hamburger"
"Gulf Crab Omelet","Eggs","Crab, Mascarpone, Creole Cream Cheese, Roasted Red Pepper Cream","standard packaging options","white","","16","hamburger"
"Pulled Pork Hash","Eggs","Potatoes, Bell Peppers, Onions, Crystal Hot Sauce ®, Maple Syrup, 2 Sunny-side Eggs","standard packaging options","white","","15","hamburger"
"Tuscan Redfish","ENTRÉES","Fried Artichokes, Tomato & Garlic, Tarragon & Lemon Beurre Blanc","standard packaging options","white","","30","hamburger"
"Gulf Fish Crawfish Piccata","ENTRÉES","Plancha Seared Fish, Crawfish, Lemon Caper Butter, Delta Grind Polenta Cake","standard packaging options","white","","32","hamburger"
"Wood-grilled Tuna","ENTRÉES","Potato Gratin, Roasted Heirloom Carrots, Leek Puree, Spiced Red Wine","standard packaging options","white","","30","hamburger"
"Shrimp-stuffed Trout","ENTRÉES","Carolina Mountain Trout, Two Brooks Farm Black Rice Grits, Charred Pepper Vinaigrette","standard packaging options","white","","28","hamburger"
"Wild Alaskan Halibut","ENTRÉES","Braised Turnips, Roasted Brussels Sprouts & Bacon, Parsnip Puree, Port Wine Syrup","standard packaging options","white","","32","hamburger"
"Gulf Shrimp and Grits","ENTRÉES","Fried Gulf Shrimp, Charred Tomato Velouté, Tasso, Fennel","standard packaging options","white","","25","hamburger"
"Italian Sausage Orzo Risotto","ENTRÉES","Mississippi Shiitakes, Piquillo Peppers, Parmigiano-Reggiano","standard packaging options","white","","20","hamburger"
"Fried Seafood Platter R'evolution","ENTRÉES","Simmons Catfish, Shrimp, Oysters, French Fries, Hushpuppies","standard packaging options","white","","25","hamburger"
"Seared Sea Scallops and Sorghum Teriyaki-glazed Pork Belly","ENTRÉES","Asian Winter Greens, Rice Grits Arancini, Molasses Mustard","standard packaging options","white","","28","hamburger"
"Certified Angus Beef Tomahawk Short Rib","ENTRÉES","Stout Braised, Bubble n’ Squeak, Tomato, Caper & Pepper Relish","standard packaging options","white","","42","hamburger"
"Flounder Milanese","Main Courses","Fried Flounder, Arugula, Lemon and Fennel Salad, Heirloom Cherry Tomatoes ","standard packaging options","white","","18","hamburger"
"Simmons Catfish Tacos","Main Courses","Green Remoulade, Lime Crema, Smashed Avocado, Roasted Poblano Pepper, Pico de Gallo, Cilantro","standard packaging options","white","","14","hamburger"
"Creole Crab Cake","Main Courses","Jumbo Lump Crab Cake, Charred Corn Salad, Red Remoulade Sauce","standard packaging options","white","","18","hamburger"
"Crab & Corn Orzo Risotto","Main Courses","Jumbo Lump Crab, Charred Corn, Piquillo Pepper, Parmigiano-Reggiano","standard packaging options","white","","16","hamburger"
"Gulf Shrimp and Grits","Main Courses","Charred Tomato Velouté, Tasso, Fennel ","standard packaging options","white","","16","hamburger"
"Shrimp Scampi","Main Courses","Gulf Shrimp, Lemon, Parmesan, Heirloom Cherry Tomatoes, White Wine Butter Sauce","standard packaging options","white","","15","hamburger"
"Crawfish Etouffee","Main Courses","Two Brooks Farm Rice, Louisiana Crawfish, French Bread","standard packaging options","white","","14","hamburger"
"6-oz Filet Mignon","Main Courses","Marchand de Vin, Mashed Potatoes, Smothered Greens","standard packaging options","white","","28","hamburger"
"Mushroom Orecchiette","Main Courses","Shitake and Crimini Mushrooms, Sherry, Spinach, Piquillo Pepper, Parmigiano-Reggiano, Butter Sherry Sauce","standard packaging options","white","","14","hamburger"
"Southern Vegetable Plate (Choose Four)","Main Courses","Creamed Spinach, Garlic-wilted Spinach, Haricot Verts, Smothered Greens, Wood Oven Brussels Sprouts with Bacon,  Mashed Potatoes, Field Peas, Roasted Fingerling Potatoes, Grilled Broccolini, Two Brooks Farm Herb Rice Grits, Traditional Cheese Grits","standard packaging options","white","","15","hamburger"
"Sweet Potato Waffle","Main Courses","Molasses Butter, Bourbon Cane Syrup, Praline Crumbles","standard packaging options","white","","9","hamburger"
"Blackened Redfish","Main Courses","Gulf Redfish, Sweet Potato-Andouille Hash, Lemon Beurre Blanc","standard packaging options","white","","27","hamburger"
"Herb-encrusted Prime Rib","Main Courses","Mashed Potatoes, Grilled Asparagus, Au Jus, Horseradish Cream","standard packaging options","white","","32","hamburger"
"Gulf Shrimp and Grits","Main Courses","Charred Tomato Velouté, Tasso, Fennel","standard packaging options","white","","25","hamburger"
"Fried Seafood Platter R'evolution","Main Courses","Simmons Catfish, Oysters, Shrimp, French Fries, Hushpuppies","standard packaging options","white","","25","hamburger"
"Slow-smoked Brisket","Main Courses","20 hour House Smoked Brisket, Cheddar Jalapeño Grits, Braised Greens, Barbecue Jus, Fried Onions","standard packaging options","white","","18","hamburger"
"Shrimp Scampi","Pastas","Gulf Shrimp, Lemon, Parmesan, Heirloom Cherry Tomato, White WIne Butter Sauce","standard packaging options","white","","15","hamburger"
"Corn & Crab Orzo","Pastas","Jump Lump Crab, Charred Corn, Piquillo Pepper, Ramigiano-Reggiano","standard packaging options","white","","16","hamburger"
"Mushroom & Spinach Pasta","Pastas","Shiitake and Crimini Mushrooms, Spinach, Piquillo Pepper, Parmigiano-Reggiano, Buttery Sherry Sauce","standard packaging options","white","","14","hamburger"
"Lobster Mac N' Cheese","Pastas","Pork Cracklings","standard packaging options","white","","16","hamburger"
"Caprese","Salad Bowls","Heirloom Cherry Tomatoes, Mozzarella Cheese, Basil, Saba Vinegar","standard packaging options","white","","8","hamburger"
